Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2021,11,Male,18,Right-Handed,,,,1,Car,11,,,Other,,,,,,,,,,,,November,Winter,No,No,Meat,Soft drink (caffeinated),History,6,8,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2021,11,Male,17,Right-Handed,177,26,177,2,Car,20,0.596,34,Other,500,500,500,1000,800,900,26,Same length,85,70,Index finger,May,Fall,No,No,Poultry,Water,English,6,10,5,Yes - broadband connection,In person,5,5,10,0,4,0,0,1,4,1,5,3,15,1,A lot,Graduate degree,Pop,Telepathy,Happy,Teacher,International aid
USA,MO,2021,12,Female,16,Right-Handed,172,27,179.5,1,Car,2,0.4119,66,Other,759,733,877,822,262,561,27,Same length,43,30,Index finger,October,Spring,No,No,Seafood,Coffee,English,7,9,4,Yes - broadband connection,Text messaging,5,12,4,2,5,10,0,0,6,4,8,8,0,2 30,A lot,Graduate degree,Pop,Freeze time,Healthy,Musician or singer,Health
USA,MO,2021,12,Female,16,Right-Handed,161,25,156,3,Walk,10,0.315,40,Soccer,786,733,722,765,599,807,25,Same length,85,78,Index finger,September,Summer,No,No,Meat,Energy drink,Other,7,8,60,Yes - broadband connection,Cell phone,10,17,5,2,1,0,2,0,3,2,20,1,1,0,Some,Graduate degree,Pop,Invisibility,Rich,Other,International aid
USA,MO,2021,10,Male,16,Right-Handed,191.7,28,180,2,Car,10,0.511,49,Basketball,500,700,900,900,1000,1000,27,Right foot,8,7.8,Index finger,September,Summer,No,No,Poultry,Tea,History,9,9,3,Yes - broadband connection,Text messaging,5,0,1,1,3,6,3,8,0,0,0,0,0,0,Very little,Graduate degree,Other,Telepathy,Rich,Friend,Education/Youth development
USA,MO,2021,12,Male,17,Ambidextrous,184,32,194,1,Car,30,33,39,Basketball,600,800,900,900,600,800,32,Same length,100,90,Ring finger,November,Summer,No,No,Meat,Water,English,7,8,4,Yes - broadband connection,Text messaging,50,50,0,168,24,0,28,0,20,14,168,168,17,3,Some,Graduate degree,Rap/Hip hop,Super strength,Rich,Sports person,Other
USA,MO,2021,12,Female,17,Right-Handed,169,29,169,1,Walk,5,0.367,37,Other,900,200,100,50,1000,1000,29,Same length,20,20,Same length,December,Fall,No,No,Rice/Noodle dishes,Coffee,Art,10,10,2,Yes - other,In person,132,300,24,6,5,3,10,20,30,10,60,60,0,4,None,Undergraduate degree,Other,Telepathy,Rich,Friend,International aid
USA,MO,2021,11,Female,17,Right-Handed,167,23,160,1,Bus,5,0.48,0.48,Other,85,70,80,86,50,55,23,Same length,82,80,Index finger,January,Spring,Yes,No,Pizza/Pasta,Tea,Music,7,9,7,Yes - broadband connection,Text messaging,500,540,1,1,13,18,1,2,15,10,8,6,1,4,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,International aid
USA,MO,2021,9,Male,18,Right-Handed,179,25.4,167,1,Car,10,0.338,53,Other,743,636,283,225,1000,1000,26,Left foot,70,67.5,Ring finger,September,Winter,Yes,No,Rice/Noodle dishes,Coffee,Art,7,9,3,Yes - broadband connection,Internet chat or instant messaging,3,3,,1,9,10,4,37,5,15,15,3,0,3,Some,Undergraduate degree,Other,Telepathy,Rich,Relative,"Arts, culture, sports"
USA,MO,2021,10,Male,14,Right-Handed,169,26,131,2,Car,20,0.317,40,Soccer,503,642,262,262,1000,1000,25,Right foot,70,75,Ring finger,June,Winter,Yes,No,Poultry,Milk,Science,7,6,3,Yes - broadband connection,Internet chat or instant messaging,2,3,10,>0.1,14,4,6,10,,1,20,0,0,3-Feb,Some,Graduate degree,Pop,Freeze time,Rich,Other,"Wildlife, animals"
USA,MO,2021,12,Female,17,Right-Handed,158,26,156,1,Walk,3,0.346,39,Other,950,800,750,1000,1000,1000,28,Left foot,65,72,Ring finger,August,Fall,No,No,Rice/Noodle dishes,Coffee,Art,10,10,3,Yes - other,Internet chat or instant messaging,95,104,24,2,0.5,7,10,5,0,8,10,3,0,0.5,Some,Some college,Pop,Fly,Rich,Musician or singer,Environment
USA,MO,2021,11,Female,16,Right-Handed,157,23,165,2,Car,5,0.418,38,Athletics,150,342,455,1000,824,888,23,Same length,90,100,Ring finger,July,Summer,No,No,Pizza/Pasta,Sports drink,Physical education,8,7,5,Yes - other,Text messaging,65,90,12,5,15,4,10,0,10,6,48,10,20,3,Some,Other,Country,Invisibility,Happy,Actor,Health
USA,MO,2021,10,Female,16,Right-Handed,163,24.1,160,2,Car,2,0.39,49,Other,636,588,636,711,321,449,,,25.4,16.5,Index finger,August,Fall,No,No,Rice/Noodle dishes,Tea,English,7,10,3,Yes - other,Text messaging,15,25,15,3,4,6,1,0,1,2,5,5,12,2,Some,Graduate degree,Pop,Fly,Happy,Other,"Wildlife, animals"
USA,MO,2021,11,Male,16,Right-Handed,190,26,188,1,Car,7,0.436,32,Basketball,500,600,400,600,200,700,27,Left foot,94,100,Ring finger,June,Spring,Yes,No,Pizza/Pasta,Water,Physical education,8,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,2,30,2,10,10,10,10,10,10,5,2,0,2,Some,Undergraduate degree,Rap/Hip hop,Super strength,Famous,Sports person,Health
USA,MO,2021,11,Male,16,Ambidextrous,182,28,186,1,Car,15,0.381,35,Baseball/Softball,1000,500,1000,1000,0,250,30,Left foot,105,110,Ring finger,February,Summer,Yes,No,Meat,Water,Physical education,6,8,5,Yes - broadband connection,In person,0,1,5,0,4,10,15,10,0,0,0,0,10,10,A lot,Graduate degree,Country,Super strength,Happy,Relative,"Wildlife, animals"
USA,MO,2021,11,Female,16,Right-Handed,178,25,166,1,Car,3,0.141,44,Other,700,600,500,600,900,1000,25,Same length,87,89,Ring finger,May,Fall,Yes,No,No favorite,Water,Science,7,8,4,Yes - other,Text messaging,30,35,3,2,7,4,0,0,9,4,3,5,10,0,Some,Graduate degree,Pop,Telepathy,Happy,Musician or singer,Environment
USA,MO,2021,10,Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2021,10,Male,14,Right-Handed,163,30,170,2,Car,10,0.689,51,Dancing,1000,1000,1000,1000,1000,1000,30,Same length,82,82,,May,Winter,Yes,No,Pizza/Pasta,Water,English,6.5,7,3,Yes - broadband connection,Internet chat or instant messaging,20,25,0,0,7,1,0.5,5,10,5,40,3,0,1,Some,Undergraduate degree,Pop,Fly,Happy,Other,Environment
